id,ATP,Location,Tournament,Date,season,portion,Winner,Loser,Wsets,Lsets,B365W,B365L,PSW,PSL,LBW,LBL,SJW,SJL
38,2,Chennai,Chennai Open,02/01/2008,2008,1,Serra F.,Vliegen K.,2,1,2,1.72,2.18,1.781,1.75,1.833,
39,2,Chennai,Chennai Open,02/01/2008,2008,1,Malisse X.,Melzer J.,2,0,1.57,2.25,1.719,2.29,2.24,1.571,
40,2,Chennai,Chennai Open,02/01/2008,2008,1,Moya C.,Kudryavtsev A.,2,1,1.05,9,1.061,14,
41,2,Chennai,Chennai Open,03/01/2008,2008,1,Garcia-Lopez G.,Eschauer W.,2,1,1.4,2.75,1.38,3.43,2.68,1.444,
42,2,Chennai,Chennai Open,03/01/2008,2008,1,Cilic M.,Mahut N.,2,0,2.62,1.44,2.3,1.714,1.7,2.1,
43,2,Chennai,Chennai Open,03/01/2008,2008,1,Nadal R.,Ram R.,2,0,1.005,17,1.025,28.5,25,1.015,
44,2,Chennai,Chennai Open,03/01/2008,2008,1,Haase R.,Zovko L.,2,0,1.28,3.5,1.324,3.79,3.8,1.286,
45,2,Chennai,Chennai Open,04/01/2008,2008,2,Moya C.,Serra F.,2,0,1.3,3.39,1.351,3.65,3.2,1.3,
46,2,Chennai,Chennai Open,04/01/2008,2008,2,Nadal R.,Garcia-Lopez G.,2,0,1.01,15,1.04,21,18,1.03,
47,2,Chennai,Chennai Open,04/01/2008,2008,2,Cilic M.,Haase R.,2,1,1.61,2.2,1.637,2.47,2.22,1.615,
48,2,Chennai,Chennai Open,04/01/2008,2008,2,Youzhny M.,Malisse X.,2,0,1.72,2,1.87,2.05,1.82,1.833,
49,2,Chennai,Chennai Open,05/01/2008,2008,2,Youzhny M.,Cilic M.,2,0,1.3,3.39,1.299,4.05,3.4,1.286,
50,2,Chennai,Chennai Open,05/01/2008,2008,2,Nadal R.,Moya C.,2,1,1.14,5,1.247,4.65,4.5,1.143,
51,2,Chennai,Chennai Open,06/01/2008,2008,2,Youzhny M.,Nadal R.,2,0,2.87,1.4,2.85,1.488,1.45,2.75,
52,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Murray A.,Rochus O.,2,0,1.16,4.5,1.212,5.31,4.1,1.2,
53,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Schuettler R.,Pavel A.,2,1,2.1,1.66,2.14,1.806,1.77,1.909,
54,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Tipsarevic J.,Ventura S.,2,1,1.16,4.5,1.227,5,4.95,1.2,
55,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Calleri A.,Robredo T.,2,0,2.62,1.44,2.81,1.51,1.44,2.75,
56,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Wawrinka S.,Martin A.,2,0,1.22,4,1.226,5.03,4,1.2,
57,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Davydenko N.,Dorsch B.,2,0,1.08,7,1.111,8.75,6.75,1.1,
58,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Kiefer N.,de Chaunac S.,2,0,1.12,5.5,1.187,5.84,5.4,1.125,
59,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Rochus C.,Karlovic I.,2,0,5,1.14,5.9,1.185,1.15,4.5,
60,3,Doha,Qatar Exxon Mobil Open,01/01/2008,2008,1,Tursunov D.,Montanes A.,2,0,1.12,5.5,1.185,5.92,6.4,1.167,
