name_1,name_2
Belgium Jupiler League,Jupiler League
Italy Serie A,Serie A
Netherlands Eredivisie,Eredivisie
England Premier League,Premier League
Scotland Scottish Premier League,Scottish Premier League
Portugal Liga ZON Sagres,Primeira Liga
Spain LIGA BBVA,Liga
France Ligue 1,Ligue 1
Germany 1. Bundesliga,Bundesliga
